first_name,last_name
Cindy,Aden
Hala,Annabi
Miranda,Belarde-Lewis
Aylin,Caliskan
Marika,Cifor
Katie,Davis
Julia,Deeb-Swihart
Anind K.,Dey
Mike,Doane
Megan,Finn
Karen E.,Fisher
Batya,Friedman
Ricardo,Gomez
Greg,Hay
David G.,Hendry
Trent,Hill
Alexis,Hiniker
Anna Lauren,Hoffman
Bill,Howe
Chance,Hunt
Maddy,Jalbert
Joseph,James
Ron,Johnson
W.E.,King
Amy J.,Ko
Lindah,Kotut
Jin Ha,Lee
Clarita,Lefthand-Begay
David,Levy
Sandy,Littletree
Jessica,Luke
Michelle H.,Martin
Sean,McGann
Tanu,Mitra
Adam Daniel,Moore
Rachel,Moran
Temi,Odumosu
Carole,Palmer
Nam-ho,Park
Wanda,Pratt
Andrew,Reifers
Joel,Ross
Jean,Salac
Martin,Saveski
Matthew,Saxton
Laura,Schildkraut
Hans Jochen,Scholl
Annie,Searle
Meena,Selvakumar
Chirag,Shah
Jaime,Snyder
Emma,Spiro
Richard,Sturman
Anna Lee,Swan
Joseph T.,Tennis
Mike,Teodorescu
Kyle,Thayer
Ott,Toomet
Carla,Wale
Melanie,Walsh
Lucy Lu,Wang
Nicholas,Weber
Jevin,West
Heather,Whiteman
Helene,Williams
Jacob O.,Wobbrock
Jason C.,Yip
Jeremy,Zaretzky
